DATE,BAT SPECIES (COMMON NAME),COUNT,RECORD TYPE,IDENTIFICATION,OS GRID REF,ADDRESS,POST CODE,HABITAT,STRUCTURE,COUNT TYPE,SEX,AGE,EVENT,EXPERIENCE,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of observation (dd/mm/yyyy),Common name of observed bat (select from list),Number of bats seen,What was observed? (select from list),How was the observation identified? (select from list),e.g. AB123456,"Full address or nearest road, village or feature where observation was made",,Habitat where observation was made (select from list),"Structure associated with observation, if relevant (select from list)",Exact count or estimate?,,,"Type of event where observation made, if relevant",Experience level of main observer (select from list),Please add any further information which may be relevant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE COMPLETE ALL YELLOW COLUMNS FOR EVERY RECORD (see ""Notes"" page for further guidance)",,,,,,"PLEASE ENTER AS MUCH ADDITIONAL INFORMATION AS POSSIBLE IN THESE COLUMNS (see ""Notes"" page for further guidance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,Pipistrelle Nathusius’ ,1,Roost (unknown type),Sight Record and Bat Detector,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,Building,Count,Unknown,Unknown,Consultant Survey,Consultant,Transition roost. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,Serotine Bat,2,Flying Bat Feeding,Sight Record and Bat Detector,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,,Unknown,Unknown,Consultant Survey,Consultant,Continous foraging 20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,Noctule Bat,1,Flying Bat,Sight Record and Bat Detector,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,Pipistrelle Bat (45kHz) ,1,Flying Bat,Sight Record and Bat Detector,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04/2020,Pipistrelle Bat (55kHz) ,,Flying Bat,Sight Record and Bat Detector,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Pipistrelle Nathusius’ ,1,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Pipistrelle Bat (45kHz) ,1,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/06/2020,Pipistrelle Bat (55kHz) ,2,Flying Bat,Bat Detector Only,TQ5192656715,"Sevenoaks Wildlife Reserve, Anglers Club hut, Sevenoaks",TN13 3LP,Woodland - broadleaved,,Estimate,Unknown,Unknown,Consultant Survey,Consultant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
